word,count
"vuotta", 7
"huomata", 7
"sjetshin", 7
"tatarilaistyttö", 7
"taistella", 7
"lakkaamatta", 7
"joukossamme", 7
"borodatij", 7
"luoksensa", 7
"huoneeseen", 7
"muistuttivat", 7
"olkoon", 7
"poikaseni", 7
"ollenkaan", 7
"ilmassa", 7
"sellaisen", 7
"pyhän", 7
"terve", 7
"valmis", 7
"umanin", 7
"kasvot", 7
"sentään", 7
"uneen", 7
"paikottain", 7
"under", 6
"hiiteen", 6
"uskomme", 6
"minkätähden", 6
"elämänsä", 6
"kansan", 6
"pysähtyi", 6
"sotajoukon", 6
"mukanaan", 6
"ratsasti", 6
"elämä", 6
"aro", 6
"hauskaa", 6
"kauas", 6
"ratsunsa", 6
"suuria", 6
"immen", 6
"akka", 6
"sotapäällikön", 6
"iskuja", 6
"have", 6
"laskeutui", 6
"vihollisten", 6
"ehtinyt", 6
"johti", 6
"sanalla", 6
"teidät", 6
"puhua", 6
"makasi", 6
"pysähtyivät", 6
"koskentakaisia", 6
"laskeutuivat", 6
"poikki", 6
"uskaltanut", 6
"mistä", 6
"missään", 6
"kasakalle", 6
"moni", 6
"tuota", 6
"vastasivat", 6
"nuorten", 6
"taivaalla", 6
"pakoon", 6
"kultarahoja", 6
"lapsi", 6
"heittivät", 6
"tax", 6
"paikalla", 6
"kadulle", 6
"viimein", 6
"ääniä", 6
"tavoin", 6
"nimessä", 6
"hetken", 6
"katsella", 6
"katselivat", 6
"ollutkaan", 6
"osastonsa", 6
"muuan", 6
"tahdot", 6
"such", 6
"tule", 6
"välin", 6
"ihmiset", 6
"perästä", 6
"heräsi", 6
"ainoa", 6
"vartijat", 6
"mieleensä", 6
"ihmisiä", 6
"meillä", 6
"parempaa", 6
"rattaiden", 6
"mehän", 6
"ensimäinen", 6
"ensimäisenä", 6
"kullalla", 6
"ette", 6
"hänessä", 6
"pitkät", 6
"ikkunasta", 6
"soturi", 6
"ennenkuin", 6
"saaneet", 6
"iski", 6
"paid", 6
"toveri", 6
"varmaankin", 6
"pieni", 6
"juuri", 6
"katsokaa", 6
"saisi", 6
"vie", 6
"tavallisesti", 6
"anna", 6
"distribution", 6
"päätä", 6
"volunteers", 6
"päälliköt", 6
"dnjeprin", 6
"jostain", 6
"palvelijat", 6
"sieppasi", 6
"sekin", 6
"yhtä", 6
"toimeen", 6
"sanonut", 6
"lähestyi", 6
"yhdessä", 6
"olemaan", 6
"joutuneet", 6
"sanon", 6
"jokaisen", 6
"onneksi", 6
"aurinko", 6
"senvuoksi", 6
"näyttivät", 6
"luona", 6
"sidottiin", 6
"korkea", 6
"vangiksi", 6
"rahoja", 6
"rahat", 6
"ajan", 6
"pääsi", 6
"pitkä", 6
"juoksi", 6
"syödä", 6
"kuten", 6
"päähänsä", 6
"vähitellen", 6
"valtasi", 6
"päällä", 6
"toi", 6
"kaikesta", 6
"distribute", 6
"located", 6
"comply", 6
"pään", 6
"sanat", 6
"sano", 6
"rannalla", 6
"kaunis", 6
"voin", 6
"olette", 6
"kajahti", 6
"mahdollista", 6
"charge", 6
"puolalaisen", 6
"savu", 5
"tehnyt", 5
"mennään", 5
"vieläkin", 5
"muutama", 5
"its", 5
"koettaen", 5
"tähden", 5
"mieleen", 5
"vaiti", 5
"free", 5
"veli", 5
"kunniaa", 5
"vaara", 5
"replacement", 5
"meren", 5
"pari", 5
"valehtelet", 5
"huomenna", 5
"state", 5
"lävistänyt", 5
"huutaen", 5
"kovin", 5
"puolelle", 5
"poikaa", 5
"pitäisi", 5
"lihava", 5
"rykmentin", 5
"vaatteet", 5
"varsovaan", 5
"sotajoukko", 5
"toverinsa", 5
"joukon", 5
"lakki", 5
"mikään", 5
"läpi", 5
"kaksituhatta", 5
"juutalaisten", 5
"vieläpä", 5
"kädessä", 5
"pototskij", 5
"mielestään", 5
"itsekseen", 5
"ottakaa", 5
"contact", 5
"käskyn", 5
"riippui", 5
"annan", 5
"popovitsh", 5
"päättivät", 5
"käteensä", 5
"taivaan", 5
"kuormien", 5
"oman", 5
"uudelleen", 5
"but", 5
"web", 5
"joukkonsa", 5
"leivän", 5
"unohtanut", 5
"lensi", 5
"päässään", 5
"selästä", 5
"tahtoo", 5
"compliance", 5
"perässään", 5
"perässä", 5
"syöksyi", 5
"leirissä", 5
"kunniasta", 5
"keskelle", 5
"kaikkialla", 5
"shilo", 5
"levolle", 5
"parka", 5
"käsiinsä", 5
"huudettiin", 5
"ottaa", 5
"oliko", 5
"takaisin", 5
"kiviä", 5
"huolimatta", 5
"miekkaansa", 5
"naskalin", 5
"mustat", 5
"toiselle", 5
"kasakoille", 5
"päässyt", 5
"heittäytyi", 5
"sinulle", 5
"turhaan", 5
"medium", 5
"häneen", 5
"enempää", 5
"pojilleen", 5
"atamanin", 5
"tietänyt", 5
"jokeen", 5
"näkivät", 5
"näkynyt", 5
"viisas", 5
"kenttää", 5
"nikolai", 5
"perään", 5
"tien", 5
"tiesivät", 5
"vanhimmat", 5
"ensi", 5
"sanottuaan", 5
"kuvastui", 5
"vanhempi", 5
"sanoivat", 5
"johdosta", 5
"valittu", 5
"rattaita", 5
"kalliit", 5
"kuninkaan", 5
"täytyi", 5
"näillä", 5
"vanhus", 5
"liittyi", 5
"pisti", 5
"ajatuksiinsa", 5
"kuolen", 5
"kunhan", 5
"edellä", 5
"maata", 5
"joutunut", 5
"onneton", 5
"pakenivat", 5
"elämää", 5
"yksikään", 5
"kahdeksan", 5
"väijyksiin", 5
"hyökkäsivät", 5
"rupesi", 5
"ratsastivat", 5
"kahden", 5
"aidan", 5
"kauhean", 5
"pyhä", 5
"tästä", 5
"kuule", 5
"kova", 5
"donate", 5
"limited", 5
"suu", 5
"koirat", 5
"kaupunkia", 5
"using", 5
"received", 5
"tarkkaan", 5
"puolesta", 5
"lapset", 5
"toisiaan", 5
"teini", 5
"tupaan", 5
"vänrikki", 5
"kotona", 5
"näe", 5
"tahansa", 5
"ehtineet", 5
"päivän", 5
"tiedän", 5
"muistutti", 5
"nimittäin", 5
"johtui", 5
"tehty", 5
"piru", 5
"haukka", 5
"joihin", 5
"viina", 5
"asti", 5
"ympäri", 5
"sarvissa", 5
"mooses", 5
"kalliita", 5
"tehtävä", 5
"ilmaantui", 5
"kulki", 5
"sata", 5
"anyone", 5
"vapaa", 5
"kuulla", 5
"sataa", 5
"joutuivat", 5
"kaulassa", 5
"muiden", 5
"jollei", 5
"pientä", 5
"toista", 5
"owner", 5
"korkealle", 5
"puoleensa", 4
"pienet", 4
"tapana", 4
"kotiin", 4
"heilautti", 4
"kirjuri", 4
"laskivat", 4
"tavattoman", 4
"aikana", 4
"taisteluun", 4
"tovkatsh", 4
"veljet", 4
"luulen", 4
"kiovassa", 4
"valitsi", 4
"puoleksi", 4
"pieniä", 4
"alkavat", 4
"tapoja", 4
"karkasi", 4
"ankaran", 4
"ruumiinsa", 4
"jääneet", 4
"koulun", 4
"parempi", 4
"semmoinen", 4
"minäkin", 4
"sodan", 4
"seisovat", 4
"sjetshistä", 4
"pidettiin", 4
"hehkui", 4
"vei", 4
"huomasivat", 4
"mission", 4
"huomannut", 4
"lattialle", 4
"parasta", 4
"heikko", 4
"kookas", 4
"huulensa", 4
"kadulla", 4
"tulla", 4
"paitsi", 4
"kohtalo", 4
"within", 4
"tulkoon", 4
"silmissään", 4
"hetmanin", 4
"varovaisesti", 4
"yhdellä", 4
"silmiään", 4
"ampunut", 4
"melun", 4
"an", 4
"hevosia", 4
"liikahtamatta", 4
"pantiin", 4
"vangit", 4
"silmäili", 4
"saavuttaa", 4
"hetkeksi", 4
"kokoontuivat", 4
"sidottu", 4
"varsinkin", 4
"menettänyt", 4
"kannata", 4
"kaikellaisia", 4
"sallikaa", 4
"sanan", 4
"kahta", 4
"tarttuen", 4
"kahteen", 4
"vaimo", 4
"kokenut", 4
"vaikeni", 4
"liittynyt", 4
"kohti", 4
"yhtään", 4
"ampuivat", 4
"vaikea", 4
"matkaan", 4
"putosi", 4
"holder", 4
"matkalle", 4
"matkamiehemme", 4
"liikkumattomana", 4
"korkeasti", 4
"antoivat", 4
"alussa", 4
"meikäläisiä", 4
"hevosta", 4
"liikkui", 4
"punainen", 4
"varmaan", 4
"site", 4
"seurasi", 4
"tatarilaisen", 4
"uusi", 4
"koskentakaisille", 4
"ihana", 4
"tuollaista", 4
"puolalaista", 4
"äitini", 4
"vastata", 4
"lensivät", 4
"kirotut", 4
"kantoi", 4
"ylhäältä", 4
"kaasi", 4
"phrase", 4
"ylimyksen", 4
"lähden", 4
"kirkossa", 4
"paikkaan", 4
"miekkoja", 4
"tuntenut", 4
"takaapäin", 4
"paras", 4
"senjälkeen", 4
"puoleen", 4
"taivasta", 4
"valtaamana", 4
"how", 4
"liekki", 4
"vartija", 4
"mennyt", 4
"liehui", 4
"koskentaan", 4
"kohden", 4
"kaikessa", 4
"saapuivat", 4
"lähteneet", 4
"saapui", 4
"varustetut", 4
"kirkkaana", 4
"kaikille", 4
"kaikilta", 4
"kaatanut", 4
"henkensä", 4
"saalista", 4
"tuollaisen", 4
"where", 4
"paljastaen", 4
"lopuksi", 4
"metsän", 4
"kaikista", 4
"tatareja", 4
"days", 4
"synkkänä", 4
"päätöksen", 4
"oikeutta", 4
"pöytä", 4
"creating", 4
"jalkoihinsa", 4
"kenttä", 4
"jonkunlaista", 4
"taakseen", 4
"damages", 4
"isänmaani", 4
"requirements", 4
"isänsä", 4
"kuva", 4
"suokoon", 4
"suuresti", 4
"enpä", 4
"näistä", 4
"juolahti", 4
"rauhan", 4
"neitosen", 4
"keihään", 4
"nekin", 4
"osastosta", 4
"suoraa", 4
"kauniilla", 4
"kultaa", 4
"käydä", 4
"nähdäkseen", 4
"kestää", 4
"omiansa", 4
"päätti", 4
"nähneet", 4
"joivat", 4
"kuuli", 4
"ratsu", 4
"kaukaa", 4
"jokaiselle", 4
"kättään", 4
"näitä", 4
"voimansa", 4
"voiman", 4
"tilaisuus", 4
"right", 4
"etunenässä", 4
"jalosukuinen", 4
"auringon", 4
"kulmakarvat", 4
"copying", 4
"täyttä", 4
"person", 4
"välitse", 4
"tuuheat", 4
"displaying", 4
"tahdomme", 4
"distributed", 4
"itseään", 4
"pitoja", 4
"ainoatakaan", 4
"uhkasi", 4
"asioita", 4
"support", 4
"iäti", 4
"erillään", 4
"sydämen", 4
"nosti", 4
"katsoivat", 4
"nostettiin", 4
"kuljettaa", 4
"online", 4
"näköinen", 4
"näkyy", 4
"joko", 4
"kerro", 4
"kaulaansa", 4
"kerrassaan", 4
"entä", 4
"kaulaan", 4
"sydämessään", 4
"odottaa", 4
"tahdotte", 4
"portista", 4
"jommoista", 4
"sydän", 4
"esille", 4
"toisilleen", 4
"puhe", 4
"ajatteli", 4
"tällaiset", 4
"niihin", 4
"niille", 4
"kasvoissa", 4
"toisiamme", 4
"osastopäällikkö", 4
"esauli", 4
"vähällä", 4
"ukko", 4
"jaksanut", 4
"kertoa", 4
"kyyneleet", 4
"sydämensä", 4
"ääretön", 4
"kuni", 4
"eräs", 4
"poikani", 4
"multaa", 4
"lakit", 4
"munkki", 4
"edustalla", 4
"lakin", 4
"raskas", 4
"sotapäällikkö", 4
"rohkeutta", 4
"bovdjug", 4
"joista", 4
"turkkilaiset", 4
"vettä", 4
"oma", 4
"turkkilaisia", 4
"turkkilaisten", 4
"individual", 4
"omaa", 4
"tietäen", 4
"kaunottaren", 4
"haavan", 4
"ellei", 4
"voivat", 4
"päällikön", 4
"sovi", 4
"johonkin", 4
"eihän", 4
"laskettiin", 4
"avulla", 4
"venäläinen", 4
"säpsähti", 4
"poikiensa", 4
"ranta", 4
"provided", 4
"most", 4
"joilla", 4
"sormillaan", 4
"fees", 4
"balaban", 4
"kuolema", 4
"teillä", 4
"additional", 4
"kiitti", 4
"joutui", 4
"kiiti", 4
"ottivat", 4
"posted", 4
"tuhatta", 4
"edustalle", 4
"form", 4
"status", 4
"kidutuksia", 4
"elämässään", 4
"toisella", 4
"aseenne", 4
"freely", 4
"part", 4
"joen", 4
"kaunista", 4
"aikoi", 4
"toverien", 4
"format", 4
"kunnossa", 4
"providing", 4
"olento", 4
"eläköön", 4
"kasvoi", 4
"iskien", 4
"käyköön", 4
"collection", 4
"editions", 4
"voimin", 4
"kauniita", 4
"aseita", 4
"alinomaa", 4
"omalla", 4
"c", 4
"kuormain", 4
"cannot", 4
"toistaan", 4
"kääntyivät", 4
"kääntyen", 4
"olevat", 4
"kumminkin", 4
"pyssynsä", 4
"unless", 4
"toiseen", 4
"arvossa", 4
"toveruuden", 4
"gogol", 4
"päällikkönä", 4
"our", 4
"give", 4
"olevaan", 4
"nuoruuden", 4
"joukkoja", 4
"tahtovat", 4
"siivet", 3
"vaikutti", 3
"palvelus", 3
"hyökännyt", 3
"kummallakin", 3
"kummallinen", 3
"lintujen", 3
"tynnyriin", 3
"lisäsi", 3
"lisäksi", 3
"ympärillä", 3
"tyytyväisiä", 3
"valaisi", 3
"produced", 3
"ajaa", 3
"kuormat", 3
"jumalaa", 3
"huutaa", 3
"ajatellakaan", 3
"people", 3
"kuormansa", 3
"pelosta", 3
"kuorma", 3
"kuntoaan", 3
"luodit", 3
"syvään", 3
"luokseen", 3
"tapahtui", 3
"kuolon", 3
"julman", 3
"selville", 3
"ankarasti", 3
"luonteeltaan", 3
"kuoli", 3
"sellaisiakin", 3
"syviin", 3
"puolella", 3
"tytön", 3
"juhlallisesti", 3
"tytär", 3
"koota", 3
"paljoakaan", 3
"juoksee", 3
"yhtyivät", 3
"poltti", 3
"kuula", 3
"kuukauden", 3
"hyväkseen", 3
"sielu", 3
"kutsui", 3
"kutsua", 3
"yhtenä", 3
"hypähti", 3
"sidotaan", 3
"tällaisen", 3
"tällaiseen", 3
"kaikellaista", 3
"tällainen", 3
"tälle", 3
"vaipuneet", 3
"sykki", 3
"kurkkua", 3
"korjatkaa", 3
"u.s", 3
"ympärillään", 3
"loppunut", 3
"loppuun", 3
"seurasivat", 3
"kunnioitettavat", 3
"pelkoa", 3
"syystä", 3
"huutoja", 3
"kaikkein", 3
"käyneet", 3
"lentoon", 3
"istua", 3
"kuilun", 3
"uudet", 3
"ihmeissään", 3
"ihmetteli", 3
"iskun", 3
"uuden", 3
"leiriä", 3
"kävisi", 3
"käynyt", 3
"käytävä", 3
"uni", 3
"sitoivat", 3
"irti", 3
"sitäpaitsi", 3
"irrotti", 3
"käänsi", 3
"unissaan", 3
"puhu", 3
"sulttaanille", 3
"käsiään", 3
"pukunsa", 3
"suloista", 3
"jäivät", 3
"uutta", 3
"pappi", 3
"paragraphs", 3
"käskyjä", 3
"kotia", 3
"kätke", 3
"kättä", 3
"koskentakana", 3
"ihanat", 3
"ylpeänä", 3
"tuska", 3
"suitset", 3
"takanaan", 3
"jää", 3
"kovasti", 3
"sotaan", 3
"sotaa", 3
"used", 3
"user", 3
"ilmoille", 3
"jäähyväiset", 3
"lapsia", 3
"kovalla", 3
"tuonut", 3
"ilmi", 3
"laskea", 3
"jätä", 3
"uskaltaa", 3
"jättää", 3
"koulussa", 3
"laskeutuneet", 3
"koulusta", 3
"sotilas", 3
"start", 3
"sivuportin", 3
"turmio", 3
"means", 3
"kääntää", 3
"unta", 3
"innokkaasti", 3
"up", 3
"kristittyjä", 3
"levisi", 3
"ylistivät", 3
"kristittyjen", 3
"kotkat", 3
"included", 3
"taisteluissa", 3
"alkoikin", 3
"sotamies", 3
"sotaisen", 3
"kulkemaan", 3
"jankelin", 3
"täyttivät", 3
"jalkojensa", 3
"juovuksiin", 3
"portit", 3
"taaksensa", 3
"panitar", 3
"taaksepäin", 3
"tuuli", 3
"liikkumattomina", 3
"täältä", 3
"kyllin", 3
"ilmaan", 3
"jakeli", 3
"yläpuolella", 3
"surumielin", 3
"performing", 3
"puna", 3
"kylät", 3
"peräänsä", 3
"kumartui", 3
"kumarsivat", 3
"limitation", 3
"kuullessaan", 3
"kuultuansa", 3
"vaikkei", 3
"vaikkapa", 3
"tykin", 3
"siksi", 3
"panna", 3
"likaa", 3
"kuulua", 3
"sille", 3
"kuuluivat", 3
"kultaisissa", 3
"hämillään", 3
"juosta", 3
"täysissä", 3
"yöllä", 3
"itki", 3
"ainoakaan", 3
"koskentaka", 3
"liability", 3
"ukrainan", 3
"isäänsä", 3
"levähtää", 3
"ukrainassa", 3
"kärsiä", 3
"kukin", 3
"käsi", 3
"poroksi", 3
"käsissään", 3
"alttarin", 3
"levittäen", 3
"isäni", 3
"käsistä", 3
"suojaa", 3
"kadonnut", 3
"suru", 3
"sure", 3
"kysyivät", 3
"kysymättä", 3
"kukoistakoon", 3
"uivat", 3
"yönä", 3
"pulskaa", 3
"tuokiossa", 3
"links", 3
"payments", 3
"lienee", 3
"vaatii", 3
"härät", 3
"kaatunut", 3
"kädessään", 3
"vaaran", 3
"paulan", 3
"teistä", 3
"royalty", 3
"piiput", 3
"oppia", 3
"ruhtinaita", 3
"mukana", 3
"mukaansa", 3
"hallitus", 3
"kiirehtivät", 3
"toisten", 3
"muka", 3
"opistolaiset", 3
"haltuun", 3
"kiiruhti", 3
"toistensa", 3
"rukoili", 3
"ehtivät", 3
"kekseliäs", 3
"ehkäpä", 3
"päivänä", 3
"muista", 3
"rantaan", 3
"muille", 3
"rumpu", 3
"kiivaasti", 3
"efforts", 3
"näette", 3
"vetäen", 3
"muun", 3
"haaralta", 3
"tovkatshin", 3
"haaroille", 3
"muu", 3
"nuorta", 3
