word,count
"kuunteli", 840
"matkalla", 840
"suurin", 840
"päähän", 840
"antaa", 840
"poissa", 840
"leipää", 840
"paloi", 840
"oleva", 840
"tarasia", 840
"mieli", 840
"muuten", 840
"miesten", 840
"ritari", 840
"päästä", 840
"ritarin", 840
"heihin", 840
"vuotta", 840
"huomata", 840
"sjetshin", 840
"tatarilaistyttö", 840
"taistella", 840
"lakkaamatta", 840
"joukossamme", 840
"borodatij", 840
"luoksensa", 840
"huoneeseen", 840
"muistuttivat", 840
"olkoon", 840
"poikaseni", 840
"ollenkaan", 840
"ilmassa", 840
"sellaisen", 840
"pyhän", 840
"terve", 840
"valmis", 840
"umanin", 840
"kasvot", 840
"sentään", 840
"uneen", 840
"paikottain", 840
"under", 720
"hiiteen", 720
"uskomme", 720
"minkätähden", 720
"elämänsä", 720
"kansan", 720
"pysähtyi", 720
"sotajoukon", 720
"mukanaan", 720
"ratsasti", 720
"elämä", 720
"aro", 720
"hauskaa", 720
"kauas", 720
"ratsunsa", 720
"suuria", 720
"immen", 720
"akka", 720
"sotapäällikön", 720
"iskuja", 720
"have", 720
"laskeutui", 720
"vihollisten", 720
"ehtinyt", 720
"johti", 720
"sanalla", 720
"teidät", 720
"puhua", 720
"makasi", 720
"pysähtyivät", 720
"koskentakaisia", 720
"laskeutuivat", 720
"poikki", 720
"uskaltanut", 720
"mistä", 720
"missään", 720
"kasakalle", 720
"moni", 720
"tuota", 720
"vastasivat", 720
"nuorten", 720
"taivaalla", 720
"pakoon", 720
"kultarahoja", 720
"lapsi", 720
"heittivät", 720
"tax", 720
"paikalla", 720
"kadulle", 720
"viimein", 720
"ääniä", 720
"tavoin", 720
"nimessä", 720
"hetken", 720
"katsella", 720
"katselivat", 720
"ollutkaan", 720
"osastonsa", 720
"muuan", 720
"tahdot", 720
"such", 720
"tule", 720
"välin", 720
"ihmiset", 720
"perästä", 720
"heräsi", 720
"ainoa", 720
"vartijat", 720
"mieleensä", 720
"ihmisiä", 720
"meillä", 720
"parempaa", 720
"rattaiden", 720
"mehän", 720
"ensimäinen", 720
"ensimäisenä", 720
"kullalla", 720
"ette", 720
"hänessä", 720
"pitkät", 720
"ikkunasta", 720
"soturi", 720
"ennenkuin", 720
"saaneet", 720
"iski", 720
"paid", 720
"toveri", 720
"varmaankin", 720
"pieni", 720
"juuri", 720
"katsokaa", 720
"saisi", 720
"vie", 720
"tavallisesti", 720
"anna", 720
"distribution", 720
"päätä", 720
"volunteers", 720
"päälliköt", 720
"dnjeprin", 720
"jostain", 720
"palvelijat", 720
"sieppasi", 720
"sekin", 720
"yhtä", 720
"toimeen", 720
"sanonut", 720
"lähestyi", 720
"yhdessä", 720
"olemaan", 720
"joutuneet", 720
"sanon", 720
"jokaisen", 720
"onneksi", 720
"aurinko", 720
"senvuoksi", 720
"näyttivät", 720
"luona", 720
"sidottiin", 720
"korkea", 720
"vangiksi", 720
"rahoja", 720
"rahat", 720
"ajan", 720
"pääsi", 720
"pitkä", 720
"juoksi", 720
"syödä", 720
"kuten", 720
"päähänsä", 720
"vähitellen", 720
"valtasi", 720
"päällä", 720
"toi", 720
"kaikesta", 720
"distribute", 720
"located", 720
"comply", 720
"pään", 720
"sanat", 720
"sano", 720
"rannalla", 720
"kaunis", 720
"voin", 720
"olette", 720
"kajahti", 720
"mahdollista", 720
"charge", 720
"puolalaisen", 720
"savu", 600
"tehnyt", 600
"mennään", 600
"vieläkin", 600
"muutama", 600
"its", 600
"koettaen", 600
"tähden", 600
"mieleen", 600
"vaiti", 600
"free", 600
"veli", 600
"kunniaa", 600
"vaara", 600
"replacement", 600
"meren", 600
"pari", 600
"valehtelet", 600
"huomenna", 600
"state", 600
"lävistänyt", 600
"huutaen", 600
"kovin", 600
"puolelle", 600
"poikaa", 600
"pitäisi", 600
"lihava", 600
"rykmentin", 600
"vaatteet", 600
"varsovaan", 600
"sotajoukko", 600
"toverinsa", 600
"joukon", 600
"lakki", 600
"mikään", 600
"läpi", 600
"kaksituhatta", 600
"juutalaisten", 600
"vieläpä", 600
"kädessä", 600
"pototskij", 600
"mielestään", 600
"itsekseen", 600
"ottakaa", 600
"contact", 600
"käskyn", 600
"riippui", 600
"annan", 600
"popovitsh", 600
"päättivät", 600
"käteensä", 600
"taivaan", 600
"kuormien", 600
"oman", 600
"uudelleen", 600
"but", 600
"web", 600
"joukkonsa", 600
"leivän", 600
"unohtanut", 600
"lensi", 600
"päässään", 600
"selästä", 600
"tahtoo", 600
"compliance", 600
"perässään", 600
"perässä", 600
"syöksyi", 600
"leirissä", 600
"kunniasta", 600
"keskelle", 600
"kaikkialla", 600
"shilo", 600
"levolle", 600
"parka", 600
"käsiinsä", 600
"huudettiin", 600
"ottaa", 600
"oliko", 600
"takaisin", 600
"kiviä", 600
"huolimatta", 600
"miekkaansa", 600
"naskalin", 600
"mustat", 600
"toiselle", 600
"kasakoille", 600
"päässyt", 600
"heittäytyi", 600
"sinulle", 600
"turhaan", 600
"medium", 600
"häneen", 600
"enempää", 600
"pojilleen", 600
"atamanin", 600
"tietänyt", 600
"jokeen", 600
"näkivät", 600
"näkynyt", 600
"viisas", 600
"kenttää", 600
"nikolai", 600
"perään", 600
"tien", 600
"tiesivät", 600
"vanhimmat", 600
"ensi", 600
"sanottuaan", 600
"kuvastui", 600
"vanhempi", 600
"sanoivat", 600
"johdosta", 600
"valittu", 600
"rattaita", 600
"kalliit", 600
"kuninkaan", 600
"täytyi", 600
"näillä", 600
"vanhus", 600
"liittyi", 600
"pisti", 600
"ajatuksiinsa", 600
"kuolen", 600
"kunhan", 600
"edellä", 600
"maata", 600
"joutunut", 600
"onneton", 600
"pakenivat", 600
"elämää", 600
"yksikään", 600
"kahdeksan", 600
"väijyksiin", 600
"hyökkäsivät", 600
"rupesi", 600
"ratsastivat", 600
"kahden", 600
"aidan", 600
"kauhean", 600
"pyhä", 600
"tästä", 600
"kuule", 600
"kova", 600
"donate", 600
"limited", 600
"suu", 600
"koirat", 600
"kaupunkia", 600
"using", 600
"received", 600
"tarkkaan", 600
"puolesta", 600
"lapset", 600
"toisiaan", 600
"teini", 600
"tupaan", 600
"vänrikki", 600
"kotona", 600
"näe", 600
"tahansa", 600
"ehtineet", 600
"päivän", 600
"tiedän", 600
"muistutti", 600
"nimittäin", 600
"johtui", 600
"tehty", 600
"piru", 600
"haukka", 600
"joihin", 600
"viina", 600
"asti", 600
"ympäri", 600
"sarvissa", 600
"mooses", 600
"kalliita", 600
"tehtävä", 600
"ilmaantui", 600
"kulki", 600
"sata", 600
"anyone", 600
"vapaa", 600
"kuulla", 600
"sataa", 600
"joutuivat", 600
"kaulassa", 600
"muiden", 600
"jollei", 600
"pientä", 600
"toista", 600
"owner", 600
"korkealle", 600
"puoleensa", 480
"pienet", 480
"tapana", 480
"kotiin", 480
"heilautti", 480
"kirjuri", 480
"laskivat", 480
"tavattoman", 480
"aikana", 480
"taisteluun", 480
"tovkatsh", 480
"veljet", 480
"luulen", 480
"kiovassa", 480
"valitsi", 480
"puoleksi", 480
"pieniä", 480
"alkavat", 480
"tapoja", 480
"karkasi", 480
"ankaran", 480
"ruumiinsa", 480
"jääneet", 480
"koulun", 480
"parempi", 480
"semmoinen", 480
"minäkin", 480
"sodan", 480
"seisovat", 480
"sjetshistä", 480
"pidettiin", 480
"hehkui", 480
"vei", 480
"huomasivat", 480
"mission", 480
"huomannut", 480
"lattialle", 480
"parasta", 480
"heikko", 480
"kookas", 480
"huulensa", 480
"kadulla", 480
"tulla", 480
"paitsi", 480
"kohtalo", 480
"within", 480
"tulkoon", 480
"silmissään", 480
"hetmanin", 480
"varovaisesti", 480
"yhdellä", 480
"silmiään", 480
"ampunut", 480
"melun", 480
"an", 480
"hevosia", 480
"liikahtamatta", 480
"pantiin", 480
"vangit", 480
"silmäili", 480
"saavuttaa", 480
"hetkeksi", 480
"kokoontuivat", 480
"sidottu", 480
"varsinkin", 480
"menettänyt", 480
"kannata", 480
"kaikellaisia", 480
"sallikaa", 480
"sanan", 480
"kahta", 480
"tarttuen", 480
"kahteen", 480
"vaimo", 480
"kokenut", 480
"vaikeni", 480
"liittynyt", 480
"kohti", 480
"yhtään", 480
"ampuivat", 480
"vaikea", 480
"matkaan", 480
"putosi", 480
"holder", 480
"matkalle", 480
"matkamiehemme", 480
"liikkumattomana", 480
"korkeasti", 480
"antoivat", 480
"alussa", 480
"meikäläisiä", 480
"hevosta", 480
"liikkui", 480
"punainen", 480
"varmaan", 480
"site", 480
"seurasi", 480
"tatarilaisen", 480
"uusi", 480
